display,manufacturer,year,peak_nm,fwhm_nm,sharpness,confidence,vote_ratio
Built-in Retina Display,2-Tel B.V,2025,633.0,21.06,16.68,1.0,10/11
V27U49,2-Tel B.V,2025,633.0,22.04,12.81,1.0,1/1
PHL 328P6V,Philips Consumer Electronics Company,2025,623.0,22.67,18.69,1.0,2/3
DELL UP3218K,"Dell, Inc.",2025,630.0,28.88,7.61,1.0,4/4
Kamvas Pro 16,HUION,2025,633.0,22.57,11.59,1.0,1/1
N07,HKC OVERSEAS LIMITED,2025,630.0,22.79,13.75,1.0,2/2
XR272U P,Acer Technologies,2025,630.0,34.27,6.78,1.0,1/1
OMEN 27i IPS,HP Inc.,2025,630.0,23.72,9.34,1.0,3/3
Q27G12ZE2,AOC,2025,630.0,23.47,9.05,1.0,1/1
NV140WUM-N4D,BOE,2025,633.0,24.45,10.37,1.0,1/1
PG38UQ,ASUSTek COMPUTER INC,2025,630.0,23.54,11.3,1.0,1/1
M27UA,"GIGA-BYTE TECHNOLOGY CO., LTD.",2025,630.0,25.68,10.41,1.0,3/3
XR383CUR P,Acer Technologies,2025,630.0,22.37,13.35,1.0,1/1
XG27ACS,ASUSTek COMPUTER INC,2025,630.0,23.52,11.57,1.0,1/1
F25G67Q Pro,SKYDATA S.P.A.,2025,630.0,31.95,9.14,1.0,1/1
CP7271K,Acer Inc,2025,630.0,37.11,8.35,0.96,1/1
MacBook Pro 14inch M4 (i1 Pro 3),Unknown,2025,633.0,37.7,7.84,0.95,1/1
Apple MacBook Pro 14 M4 Nano-Texture (QD Mini-LED),Apple Computer Inc,2025,630.0,37.8,7.94,0.95,2/2
MPG272UX OLED,Microstep,2025,637.0,38.91,7.26,0.93,1/1
MPG 275CQRXF,Microstep,2024,630.0,22.83,12.57,1.0,1/1
MNF601CA1-3,California Institute of Technology,2024,633.0,23.39,11.54,1.0,2/2
MAG274QRF-QD,Microstep,2024,630.0,25.28,23.76,1.0,8/11
PA27JCV,ASUSTek COMPUTER INC,2024,630.0,24.36,10.85,1.0,1/1
VP3256-4K,ViewSonic Corporation,2024,633.0,24.47,11.96,1.0,7/7
MNG007DA1-G,California Institute of Technology,2024,630.0,24.06,10.96,1.0,1/1
MSI G273Q,Microstep,2024,633.0,24.42,10.9,1.0,10/10
Q27G2S,AOC,2024,630.0,29.73,9.44,1.0,2/2
27G5K-PRO,"Hisense Electric Co., Ltd.",2024,630.0,22.02,9.39,1.0,1/1
NE173QHM-NY6,BOE,2024,630.0,25.38,10.81,1.0,1/1
ZOWIE XL2586X,BenQ Corporation,2024,630.0,24.21,27.68,1.0,2/3
DELL S3422DWG,"Dell, Inc.",2024,633.0,23.09,12.14,1.0,4/4
LP129WT212166,LG Display,2024,633.0,23.39,11.42,1.0,5/5
ASUS VG289,ASUSTek COMPUTER INC,2024,633.0,24.5,11.51,1.0,2/2
PL3481WQ,Iiyama North America,2024,630.0,25.86,10.94,1.0,1/1
MAG342CQRV,Microstep,2024,630.0,27.11,10.79,1.0,3/3
27R83U,Technical Concepts Ltd,2024,637.0,27.81,18.9,1.0,5/6
NE160WUM-NX2,BOE,2024,630.0,26.46,9.57,1.0,1/1
AW2725QF,"Dell, Inc.",2024,630.0,22.45,12.11,1.0,1/1
S27B80P,Samsung Electric Company,2024,630.0,26.93,11.22,1.0,1/1
ED343CUR V3,Acer Technologies,2024,630.0,23.88,12.58,1.0,4/4
MNG007QS4-3,California Institute of Technology,2024,633.0,27.71,9.68,1.0,1/1
M27Q,"GIGA-BYTE TECHNOLOGY CO., LTD.",2024,630.0,24.09,10.95,1.0,6/6
U32J59x,Samsung Electric Company,2024,633.0,24.57,13.13,1.0,6/6
5622,Chimei Innolux Corporation,2024,633.0,25.07,10.36,1.0,1/1
9557,BOE,2024,630.0,20.14,11.61,1.0,1/1
CG2700X,Eizo Nanao Corporation,2024,630.0,20.95,14.17,1.0,3/3
XB273K V3,Acer Technologies,2024,630.0,22.13,13.89,1.0,3/3
NE180QDM-NY1,BOE,2024,633.0,23.67,11.61,1.0,1/1
PHL 245E1,Philips Consumer Electronics Company,2024,633.0,24.09,11.58,1.0,1/1
LQ173M1JW12,Sharp Corporation,2024,633.0,30.41,9.29,1.0,2/2
U27B3A,AOC,2024,633.0,24.56,11.26,1.0,1/1
SONY TV  *00,Sony,2024,633.0,31.86,5.67,1.0,16/29
SA272U,Acer Technologies,2024,630.0,28.01,11.97,1.0,1/1
MNG007DA1-Q,California Institute of Technology,2024,633.0,24.88,10.86,1.0,1/1
HDMI2.1,"Sanyo Electric Co.,Ltd.",2024,630.0,24.28,13.87,1.0,3/3
CS2420,Eizo Nanao Corporation,2024,630.0,25.97,10.23,1.0,4/6
DELL U4025QW,"Dell, Inc.",2024,630.0,27.91,6.3,1.0,1/1
ED343CUR H,Acer Technologies,2024,630.0,24.33,12.78,1.0,5/5
N27q,Lenovo Group Limited,2024,630.0,24.34,11.2,1.0,1/1
NE156QHM-NY2,BOE,2024,632.0,9.86,20.04,1.0,4/4
NV160WUM-NY2,BOE,2024,633.0,29.57,9.25,1.0,1/1
HDMI,XDM Ltd.,2024,630.0,29.05,11.65,1.0,1/1
XV272U F3,Acer Technologies,2024,630.0,23.64,11.01,1.0,1/1
44TRN-B173ZAN,AU Optronics,2024,630.0,23.46,12.36,1.0,2/2
PHL 329P1,Philips Consumer Electronics Company,2024,630.0,23.62,11.29,1.0,1/1
DELL G2724D,"Dell, Inc.",2024,630.0,24.19,10.48,1.0,2/2
Q24P2W1,AOC,2024,630.0,24.13,11.1,1.0,2/2
D75,XDM Ltd.,2024,630.0,28.65,11.82,1.0,1/1
